,연도,선수,팀,구종,체인지업_구사%,체인지업_구속,체인지업_상하_무브먼트,체인지업_좌우_무브먼트,체인지업_분당_회전수,체인지업_좌우_릴리스포인트,체인지업_상하_릴리스포인트,체인지업_타구_속도,체인지업_상하_각도,체인지업_피안타율,체인지업_피장타율,체인지업_땅볼%,체인지업_라인드라이브%,체인지업_뜬공%,체인지업_팝플라이%,체인지업_강한_타구%
127,2021,장지훈,SSG,체인지업,40.9,128.6,-0.7,-23.5,1623.8,-80.6,156.5,139.5,7.9,0.268,0.323,47.5,35.0,15.0,2.5,28.8
128,2021,로켓,두산,체인지업,38.6,134.8,4.4,-22.0,1635.5,-49.5,179.2,138.7,7.7,0.246,0.338,49.0,33.7,14.3,3.1,32.7
129,2021,채지선,LG,체인지업,37.1,134.9,8.6,-22.4,1738.8,-35.3,169.3,140.3,8.0,0.188,0.188,38.5,46.2,15.4,0.0,23.1
130,2021,신민혁,NC,체인지업,36.2,124.9,19.6,-28.1,2261.1,-39.9,173.1,129.8,20.7,0.214,0.346,28.5,31.8,21.9,17.9,11.9
131,2021,신재영,SSG,체인지업,35.8,124.2,-1.4,-24.2,1605.8,-54.1,136.6,140.6,15.5,0.211,0.211,35.3,35.3,23.5,5.9,23.5
132,2021,홍성민,NC,체인지업,34.2,122.8,7.2,-24.9,1694.9,-39.9,171.1,133.0,18.4,0.286,0.393,34.1,29.5,18.2,18.2,13.6
133,2021,임기영,KIA,체인지업,30.9,124.1,1.2,-26.6,1735.2,-81.2,139.4,127.8,14.4,0.195,0.302,39.5,31.0,18.6,10.9,12.4
134,2021,정우람,한화,체인지업,30.5,120.2,21.2,26.5,2141.4,61.6,180.5,129.2,23.5,0.258,0.306,20.4,38.8,26.5,14.3,14.3
135,2021,심재민,KT,체인지업,30.4,127.7,26.3,24.4,2470.7,40.8,178.4,127.4,14.9,0.167,0.283,42.9,23.8,19.0,14.3,14.3
136,2021,김동혁,키움,체인지업,28.6,116.1,-4.0,-28.7,1771.5,-91.8,116.2,130.9,12.2,0.217,0.272,42.4,33.3,16.7,7.6,13.6
137,2021,유희관,두산,체인지업,28.5,121.1,21.0,21.9,1939.2,26.5,162.7,132.9,14.1,0.366,0.564,34.6,38.5,20.5,6.4,24.4
