,Unnamed: 0,월,일,원정,홈,원정점수,홈점수
445,445,8,2,두산,한화,4,1
446,446,8,2,SSG,KT,0,1
447,447,8,2,키움,LG,3,6
448,448,8,3,KIA,삼성,12,8
449,449,8,3,NC,롯데,8,1
450,450,8,3,두산,한화,2,5
451,451,8,3,SSG,KT,1,3
452,452,8,3,키움,LG,4,5
453,453,8,4,한화,KIA,3,9
454,454,8,4,KT,두산,4,3
455,455,8,4,LG,삼성,4,5
456,456,8,4,SSG,롯데,4,1
457,457,8,4,키움,NC,2,4
458,458,8,5,한화,KIA,3,9
459,459,8,5,KT,두산,4,7
460,460,8,5,LG,삼성,3,6
461,461,8,5,SSG,롯데,9,6
462,462,8,5,키움,NC,3,4
463,463,8,6,한화,KIA,4,4
464,464,8,6,KT,두산,3,1
465,465,8,6,LG,삼성,7,4
466,466,8,6,SSG,롯데,0,1
467,467,8,6,키움,NC,7,12
468,468,8,8,한화,KT,2,7
469,469,8,8,롯데,키움,3,1
470,470,8,8,NC,SSG,2,0
471,471,8,8,삼성,두산,3,5
472,472,8,9,한화,KT,6,12
473,473,8,9,LG,KIA,6,2
474,474,8,9,롯데,키움,8,10
475,475,8,9,NC,SSG,1,2
476,476,8,9,삼성,두산,6,4
477,477,8,10,롯데,키움,12,8
478,478,8,11,KIA,롯데,1,7
479,479,8,11,NC,KT,7,3
480,480,8,11,두산,한화,11,4
481,481,8,11,삼성,SSG,5,4
482,482,8,11,키움,LG,3,5
483,483,8,12,KIA,롯데,13,5
484,484,8,12,NC,KT,3,4
485,485,8,12,두산,한화,1,6
486,486,8,12,삼성,SSG,2,3
487,487,8,12,키움,LG,4,8
488,488,8,13,KIA,롯데,1,6
489,489,8,13,NC,KT,0,4
490,490,8,13,두산,한화,3,8
491,491,8,13,삼성,SSG,0,4
492,492,8,13,키움,LG,8,17
493,493,8,15,한화,NC,3,3
494,494,8,15,KT,두산,1,0
495,495,8,15,LG,삼성,5,6
496,496,8,15,SSG,롯데,6,10
497,497,8,15,키움,KIA,9,6
498,498,8,16,한화,NC,4,3
499,499,8,16,KT,두산,5,2
500,500,8,16,LG,삼성,6,3
501,501,8,16,SSG,롯데,4,7
502,502,8,16,키움,KIA,3,11
503,503,8,17,한화,NC,9,10
504,504,8,17,KT,두산,9,8
505,505,8,17,LG,삼성,2,4
506,506,8,17,SSG,롯데,4,15
507,507,8,17,키움,KIA,4,8
508,508,8,18,KIA,삼성,2,12
509,509,8,18,KT,한화,6,11
510,510,8,18,LG,SSG,8,4
511,511,8,18,롯데,키움,4,5
512,512,8,19,롯데,키움,2,5
513,513,8,19,KIA,삼성,6,5
514,514,8,19,KT,한화,5,4
515,515,8,19,LG,SSG,11,2
516,516,8,19,NC,두산,1,4
517,517,8,20,롯데,키움,6,7
518,518,8,20,KIA,삼성,4,6
519,519,8,20,KT,한화,3,0
520,520,8,20,LG,SSG,1,2
521,521,8,20,NC,두산,12,5
522,522,8,22,KIA,KT,4,8
523,523,8,22,두산,키움,6,1
524,524,8,22,삼성,한화,5,3
525,525,8,23,두산,키움,11,4
526,526,8,24,KIA,KT,7,3
527,527,8,24,롯데,LG,1,3
528,528,8,24,NC,SSG,4,7
529,529,8,24,두산,키움,8,6
530,530,8,25,한화,KIA,1,4
531,531,8,25,KT,롯데,3,1
532,532,8,25,LG,NC,1,14
533,533,8,25,SSG,두산,1,10
534,534,8,25,키움,삼성,7,4
535,535,8,26,한화,KIA,4,12
536,536,8,26,KT,롯데,8,6
537,537,8,26,LG,NC,5,7
538,538,8,26,SSG,두산,7,5
539,539,8,26,키움,삼성,5,6
540,540,8,27,한화,KIA,2,5
541,541,8,27,KT,롯데,2,1
542,542,8,27,LG,NC,3,5
543,543,8,27,SSG,두산,8,5
544,544,8,27,키움,삼성,6,8
545,545,8,30,키움,SSG,7,11
546,546,8,31,롯데,한화,5,2
547,547,8,31,NC,KIA,3,13
548,548,8,31,두산,LG,2,3
549,549,8,31,삼성,KT,4,6
550,550,8,31,키움,SSG,8,3
551,551,9,1,한화,LG,0,10
552,552,9,1,KIA,SSG,10,2
553,553,9,1,KT,키움,2,6
554,554,9,1,NC,삼성,10,0
555,555,9,2,한화,LG,5,3
556,556,9,2,KIA,SSG,12,4
557,557,9,2,KT,키움,0,3
558,558,9,2,NC,삼성,5,1
559,559,9,3,한화,LG,5,3
560,560,9,3,KIA,SSG,8,6
561,561,9,3,KT,키움,0,7
562,562,9,3,NC,삼성,1,6
563,563,9,3,두산,롯데,2,0
564,564,9,4,두산,롯데,3,4
565,565,9,5,LG,KT,5,4
566,566,9,5,SSG,한화,11,6
567,567,9,5,삼성,롯데,3,10
568,568,9,5,키움,NC,1,2
569,569,9,6,KIA,두산,7,1
570,570,9,6,LG,KT,3,4
571,571,9,6,SSG,한화,5,6
572,572,9,6,삼성,롯데,7,2
573,573,9,6,키움,NC,2,8
574,574,9,7,KIA,두산,0,3
575,575,9,7,LG,KT,11,4
576,576,9,7,SSG,한화,3,4
577,577,9,7,삼성,롯데,1,2
578,578,9,7,키움,NC,1,6
579,579,9,8,한화,키움,6,5
580,580,9,8,LG,KIA,12,2
581,581,9,8,롯데,NC,3,4
582,582,9,8,SSG,KT,7,16
